Total Count,Tweet
277,RT @RealAlexJones: #Wikileaks: #Hillary Plans to Implode US Economy - https://t.co/pR6NqJRtPH
268,"RT @LouDobbs: UN Joins Hillary Cartel, Corrupt Obama Admin &amp; Liberal Media Attack on Trump https://t.co/F5ptolX3qr via @worldnetdaily #MAGA…"
266,"RT @trump2016fan: 🚨WIKILEAKS:  Sen Feinstein helped Hillary avoid a criminal referral on Bhengazi as part of coverup
https://t.co/fm2VxABzg…"
266,"RT @trump2016fan: 🚨WIKILEAKS:  Sen Feinstein helped Hillary avoid a criminal referral on Bhengazi as part of coverup
https://t.co/fm2VxABzg…"
259,"RT @TEN_GOP: ""The latest Wikileaks emails are very clear: If Hillary is elected, it'll mean the rule of law becomes the rule of 'Friends of…"
246,"RT @Democrat_4Trump: When we wear RED on Election Day NOVEMBER 8, these VOTER fraudster Hillary media is going to have a damn hard time exp…"
244,RT @chuckwoolery: You may survive with a #Hillary and #DemocratPresidency. You will Prosper with #TrumpPence16 .
236,RT @JackPosobiec: CNN just accidentally admitted Hillary is worried she will lose PA
227,RT @MarkRuffalo: Michael Moore releases film and email urging all progressives to vote Hillary—Trump could win https://t.co/VDD3jSyFlv
215,"RT @SandraTXAS: Isnt it strange media condemning #WIKILEAKS ....... ?
#Gettysburg 
#PodestaEmails15
#ImWithHer not! #Hillary
#MAGA #Trump h…"
208,"RT @CNNPolitics: Clinton: We know ""the difference between leadership and dictatorship"" https://t.co/Bgx5xXkHhY https://t.co/CiCsRQ9uij"
208,RT @CNNPolitics: Hillary Clinton slams Donald Trump for his comments on not accepting results of the election https://t.co/6OZtrfIwim https…
207,"RT @WDFx2EU7: The new ABC poll showing Hillary at 50% and Trump at 38% used some very ""interesting"" polling methods. https://t.co/Dxz8C0zD14"
196,"RT @davidsirota: ""Pragmatic"" = approving a tar sands pipeline, voting for drilling &amp; promoting fracking https://t.co/7euE7uaNfc https://t.c…"
195,RT @Always_Trump: Hillary Campaign discusses how to use the killing of black people to their political advantage. #PodestaEmails15 #Podesta…
184,RT @ChatRevolve: This was halfway during the event still empty and Hillary staff freaking out over us shouting facts #Trump2016  #NV #NC #O…
183,"RT @CauseWereGuys: RT for Ron Swanson 
Like for Hillary Clinton https://t.co/iMyE18BMZ5"
183,"RT @CauseWereGuys: RT for Ron Swanson 
Like for Hillary Clinton https://t.co/iMyE18BMZ5"
183,"RT @CauseWereGuys: RT for Ron Swanson 
Like for Hillary Clinton https://t.co/iMyE18BMZ5"
183,"RT @CauseWereGuys: RT for Ron Swanson 
Like for Hillary Clinton https://t.co/iMyE18BMZ5"
176,RT @BigStick2013: Stunning Numbers: Trump Leads Hillary in Rally Attendance by Half a Million People Since August https://t.co/y87QV6CAwD v…
175,"RT @Democrat_4Trump: Hillary Clinton Refuses Meeting With Local Police, Sits Down With Black Lives Matter https://t.co/vXyOX7vmTz"
174,"RT @weknowwhatsbest: For security reasons, should Hillary become president, a top secret classification will be placed on nap times."
166,"RT @MissLizzyNJ: The Dangers of Hillary Clinton:
She wants to start a war with Russia, yet she's telling them how to win. https://t.co/vzRz…"
165,"RT @diana_west_: Hillary is expected to bring 1 million Muslims into US in 1st term, which means Islamization on a European scale.
That's t…"
160,"RT @Cernovich: #TooCorrupt video is here!

https://t.co/uUjVWAGzjQ"
160,RT @wpjenna: Spotted at Donald Trump's rally in Virginia Beach: Hillary Clinton's head on a stake. https://t.co/iqnya3NeuF
157,"RT @ImwithHer2016: “America needs a brave leader, not bravado. Real solutions, not paper-thin promises.” @Enquirer, endorsing Hillary Clint…"
157,"RT @FemalesForTrump: The DNC Podesta emails did NOT come from Russia! Another HUGE blunder by Hillary!
#DrainTheSwamp #polls #HillaryAlways…"
157,RT @scottienhughes: Why does it seem like Hillary has more trolls on the internet then attendees at her rallies 🙄 Good grief Trolls R fierc…
154,RT @pnehlen: If you're planning to vote #Hillary at least watch this short video https://t.co/K8akE8MWSx to learn what TPP is - Gold Standa…
152,"RT @TEN_GOP: Jay Sekulow: ""There's no question in my mind that the FBI never really intended to do an investigation Hillary Clinton."" https…"
147,"RT @WDFx2EU7: Hillary Clinton Faces Criminal Charges In Egypt
https://t.co/LxzllQLUIn"
146,"RT @_Makada_: .@SeanHannity reveals Hillary Clinton's former ""fixer"" Jeff Rovin on @FoxNews! https://t.co/IrMY9N8xuK"
141,"RT @Democrat_4Trump: Mook is lying. Trust me, the Hillary Camp has spoken to the Trump accusers &amp; I've seen the evidence. Wikileaks will re…"
133,RT @AdamParkhomenko: It's an easy call: Hillary Clinton for president https://t.co/aqoMPCO4B6
133,RT @AdamParkhomenko: It's an easy call: Hillary Clinton for president https://t.co/aqoMPCO4B6
129,"RT @col_nj: Trump's Right! 👉Hillary's Self Professed Dream For Open Borders PROVES Her Loyalty Is NOT With The American People

#SundayMorn…"
121,"RT @WesleyRickard: 10-22-2016 ""Hillary Clinton left 4 Navy Seals to die on a rooftop in Benghazi because she was not willing to make the ha…"
121,"RT @bocavista2016: #Gettysburg summarizes this entire election:

Trump focuses on America

Hillary focuses on Russia

https://t.co/8Bt7Ry6E…"
119,RT @LatestAnonNews: Is Hillary Clinton in a healthy condition to be president? What's wrong with her head? #PodestaEmails17 https://t.co/KV…
118,"RT @VivaLaAmes: IF YOU SUPPORT THE #2A HILLARY'S CAMPAIGN THINKS YOU'RE A ""GUN NUT""
https://t.co/Ihdnh3AGbM"
117,RT @WDFx2EU7: 1 week ago Google said a majority of Hillary's funds were attributed to superpacs. THEY CHANGED IT after VERITAS videos! http…
116,"RT @LVNancy: Hillary's explanation of SCOTUS Heller decision was totally wrong, was she Lying again❓
👺 #CrookedHillary
#2A🔫
#MAGA
https://t…"
115,"RT @MaxSteel747: What do you Female Voters Think will Happen when Hillary's 400,000 planned Syrian immigration comes to Your Neighborhood n…"
111,RT @DRUDGE_REPORT: IT BEGINS:  Kaine opens door to Clinton pushing TPP...  https://t.co/E3F7K6fe4F
111,RT @DRUDGE_REPORT: IT BEGINS:  Kaine opens door to Clinton pushing TPP...  https://t.co/E3F7K6fe4F
110,RT @davidsirota: CAN'T MAKE IT UP: The SEC exempted federal lawmakers from the government's anti-corruption rule  https://t.co/o4Ivxn7YmT h…
104,RT @DailyCaller: Hillary’s Campaign Manager Has The WORST Response To WikiLeaks Emails — What About Trump’s Tax Returns? [VIDEO] https://t.…
103,"RT @_Makada_: Alex Gerlach at the State Department colluding with Clinton campaign on Hillary's email scandal!

#PodestaEmails16
https://t.…"
103,"RT @_Makada_: Alex Gerlach at the State Department colluding with Clinton campaign on Hillary's email scandal!

#PodestaEmails16
https://t.…"
100,"RT @hale_razor: HILLARY &amp; DEMOCRATS:
Wrong on Russia.
Wrong on Iran.
Wrong on Syria.
Wrong on Iraq.
Wrong on Libya
Wrong on ISIS.
So give t…"
100,"RT @hale_razor: HILLARY &amp; DEMOCRATS:
Wrong on Russia.
Wrong on Iran.
Wrong on Syria.
Wrong on Iraq.
Wrong on Libya
Wrong on ISIS.
So give t…"
97,"RT @FranCifelli: U would think that after 40 yrs of ""public service"" ha~ ha~Hillary would have done something worthwhile &amp; really great but…"
